report,session,session_count,model,total_cost,cost_per_session,api_time,tokens_in,tokens_out,cache_read,cache_write,total_tokens,cost_per_1k_tokens,notes
2026-06-29T19-52-38Z-operator,2026-06-29 Quick Wins + deepseek-v4-pro wrinkle,4,glm-5.2,$1.78,$0.44,,350680,59770,3935799,0,410450,$0.00,session=ses_0eb7d64a9ffeCeWOInW3sXOBaQ; opencode SQLite opencode.db; api_time blank (opencode has no /cost api_time field); bound session-cost rows: register-opencode-glm-5-2 + triage-merge-classify-test-timeout + triage-mark-ready-push-sets-upstream + register-opencode-deepseek-v4-pro
2026-06-30T04-05-24Z-operator,2026-06-30 Tier A (5 ready-intents),5,glm-5.2,$6.13,$1.23,,1054607,140404,15523913,0,1195011,$0.01,session=ses_0eab7dec1ffeRqy5C37JXWci4p; opencode SQLite opencode.db; api_time blank (opencode has no /cost api_time field); bound session-cost rows: run-auto-integrate-base-on-behind + cleanup-abandon-single-worktree + triage-resolve-plan-spec-path-merge-target + triage-merge-plan-prs + triage-merge-recovers-local-ready-flakes-when-ci-green
2026-06-30T16-18-56Z-operator,2026-06-30 v2 Tier B/C buildout,6,gpt-5.5,$33.38,$5.56,,1653908,81632,45328256,,1735540,$0.02,"Codex usage supplied by operator: total=1,735,540 input=1,653,908 cached=45,328,256 output=81,632 reasoning=14,851; cost estimated with data/prices.json gpt-5.5 rates; resume=codex resume 019f1423-79ac-7611-9fa3-bd025e8c6b4b; bound session-cost rows: daemon-run-failure-capture + invocation-failure-reasons + daemon-tail-stream-handler-factory + cross-process-log-follow-wake + daemon-wait-run-completion + cli-wait-run-completion; C2 manual recovery included here"
2026-06-30T22-02-18Z-operator,ses_0e665b9fcfferpQCAmm41YZ5tz,6,glm-5.2,$6.35,$1.06,,734860,78130,19127457,0,812990,$0.01,"session=ses_0e665b9fcfferpQCAmm41YZ5tz; opencode SQLite opencode.db; api_time blank (opencode has no /cost api_time field); bound session-cost rows: agent-order-override-flag + prompt-agent-override + intent-agent-order-override-flag + review-feedback-red-ci-fallback + triage-command-sibling-timeout-audit + triage-suggest-scoped-abandon; session spanned computer death + restart, cost reflects full session wall"
2026-07-01T04-24-23Z-operator,2026-06-30-v2-phase-4-buildout,2,glm-5.2 + gpt-5.5,$32.92,$16.46,,2566240,163461,62886467,0,2729701,$0.01,"opencode session ses_0e63e022affe8LPtFgJLclgOR7 from first operator handoff plus Codex continuation usage supplied by operator: total=1,433,991 input=1,380,040 cached=24,625,408 output=53,951 reasoning=12,516; Codex cost estimated with data/prices.json gpt-5.5 rates; bound session-cost rows: tui-scaffold + tui-run-launch + tui-run-monitor + tui-run-log-follow + tui-run-steering"
2026-07-03T19-51-28Z-operator,2026-07-03-sonnet5-config-and-harness-fixes,3,claude-sonnet-5 + claude-haiku-4-5,$33.97,$11.32,0:18:47,25577,67721,93300000,812700,93298,$0.364,"Claude Code /cost; wall duration 3h0m29s (includes long jarvis-run waits); bound session-cost rows: claude-sonnet-5-model-support + intent-draft-emits-heading-not-duplicate-name-line + triage-merge-resolves-plan-pr-spec-pre-merge; tokens/cache approximate (source figures reported k/m-rounded); also drove 2 seed-prune PRs (#947, #957) and 1 runbook+seed doc PR (#943), all no separate jarvis spend"
2026-07-03T22-27-34Z-operator,019f29af-12dd-7211-b541-332775435ba8,4,gpt-5.5,$4.79,$1.20,,263345,18533,5825408,,281878,$0.017,Codex usage supplied by operator: total=281878 input=263345 cached=5825408 output=18533 reasoning=3477; cost estimated with data/prices.json gpt-5.5 rates; resume=codex resume 019f29af-12dd-7211-b541-332775435ba8; bound session-cost rows: v2-daemon-minimal-integration-smoke + daemon-run-control-fixtures + write-fixture-consolidation + sandbox-git-repo-fixture
2026-07-05T03-58-26Z-operator,2026-07-04-phase5-workflow-runner-buildout,12,claude-sonnet-5 + claude-haiku-4-5,$166.99,$13.92,1:53:38,89500,308640,519700000,1000000,398140,$0.419,"Claude Code /cost; total_cost = sonnet-5 $166.99 + haiku sliver $0.0023 (haiku used briefly for patch-mode primary agent on batch-1 specs before agent-order changes); wall duration 23h23m43s vs api_time 1h53m38s (session spanned most of a day, dominated by polling/waiting on jarvis plan/run background tasks and CI, not active model time); 12 specs_driven = Phase 5's full remaining ready-intent list (core path + TUI track) plus a cascade of harness fixes surfaced along the way (CI-hang chase, codex quota-fallback bug); also drove seed/doc/chore PRs #985, #990, #994, #1010, #1011, #1034, #1035, #1036 (no separate jarvis spend, folded into operator total)"
2026-07-05T13-50-52Z-operator,2026-07-05-three-v2-ready-intents,3,claude-sonnet-5 + claude-haiku-4-5,$50.26,$16.75,0:54:40,29555,198018,141600000,831100,227573,$0.221,"Claude Code /cost; total_cost = sonnet-5 $50.26 + haiku sliver $0.0006; wall duration ~8h14m (API 0:54:40) dominated by polling jarvis1 plan/run background tasks and CI, including 6 stuck-CI cancel+rerun cycles across 4 PRs on GitHub's own runners (seeded ci-test-v2-stage-hangs) plus repeated gate flakes from an unrelated ~9-11hr orphaned local bun-test process (ppid 1) in a concurrent terminal; bound session-cost rows: human-loop-behavior + review-debate-behavior + tui-human-loop-controls"
2026-07-06T02-29-16Z-operator,2026-07-06-v2-phase-7-concurrency-admission,1,claude-sonnet-5 + claude-haiku-4-5,$49.71,$49.71,0:49:23,21600,169437,146600000,519100,191037,$0.260,"Claude Code /cost; total_cost = sonnet-5 $49.71 + haiku sliver $0.0016; wall duration 9h12m17s vs api_time 49m23s -- gap dominated by polling background jarvis1 plan/run invocations and CI, including the memory-watermark CI-hang investigation (root-caused and fixed in PR https://github.com/cbrenner04/jarvis/pull/1075, confirmed via 2 subsequent clean CI runs) and one prior-session pickup (PR https://github.com/cbrenner04/jarvis/pull/1062); bound session-cost rows: operator-session-bootstrap + workflow-runner-invocation-telemetry-parity + memory-watermark-admission-and-queued-status + extract-worktree-claim-check-unit-testable + extract-promote-queued-run-unit-testable + concurrent-run-execution + tui-multi-run-dashboard-and-queue-view; also drove seed/chore PRs https://github.com/cbrenner04/jarvis/pull/1069, 1070, 1078, 1081, 1082, and the standalone fix PR 1075 (no separate jarvis spend, folded into operator total)"
2026-07-07T04-14-50Z-operator,2026-07-06-v2-shrink-seeds-01-07,38,claude-opus-4-8,$213.66,$213.66,3:04:09,212400,572700,373200000,1300000,785100,$0.272,"Claude Code /cost; claude-opus-4-8 (+ haiku sliver $0.0017); wall ~1d21h vs api 3:04:09. Operator cost is SEPARATE from jarvis-run cost: jarvis runs cost $194.84 this session (metered cost_usd in runs.jsonl on plan_phase/patch_phase records; $194.53 agent-paid + $0.31 cursor-estimated), now populated as 34 session-costs rows. Real observed session total ~$408.50 (jarvis $194.84 + operator $213.66). NOTE: an earlier revision of this row wrongly claimed a runs.jsonl source gap -- that was a query error (looked for .cost/.tokens_out on run_terminal records; the data is .cost_usd/.usage on phase records). Seeds 01-07 shipped (2+8+6+4+1+3+3 slices) + CI-flake-fix specs = 38 impl PRs."
2026-07-09T18-19-29Z-operator,2026-07-08-v2-shrink-seeds-08-13,28,claude-opus-4-8,$76.98,$76.98,1:14:33,45500,244631,110400000,1500000,290131,$0.2653,"Claude Code /cost; claude-opus-4-8 ($76.97) + haiku sliver ($0.0016); api 1:14:33, wall ~1d9h. SEPARATE from jarvis-run cost: jarvis runs $158.98 (metered cost_usd in runs.jsonl; claude $131.47 + codex $27.52, cursor unused), 28 session-costs rows. Observed session total ~$235.96 (jarvis $158.98 + operator $76.98). Caching held operator cost far below prior $213.66 despite longer wall. Seeds 08-13 shipped (4+2+6+10+1+2 slices) + 2 non-numbered genuine (10min x2, leaked-handle) + housekeeping = 70 PRs #1178-1248."
2026-07-10T03-36-27Z-operator,2026-07-10-three-v2-seeds,3,claude-opus-4-8,$108.38,$108.38,1:54:48,72600,398900,150200000,2300000,471500,$0.2299,"Claude Code /cost; claude-opus-4-8 $108.38 + haiku sliver $0.0023; api 1:54:48, wall ~1d23h. SEPARATE from jarvis-run cost (session-costs.csv, 3 rows): captured ~$14.49 (claude plans $1.66/$2.61/$2.72 + impls $2.64/$4.86); cursor/glm/claude timeout attempts ~$0 metered. Session total observed ~$122.87. High operator cost driven by multi-round manual recovery on ready-gate-scope (3 agent iteration-wall timeouts + hand-finalize). Seeded checkpoint-partial-progress-on-iteration-timeout."
2026-07-11T00-01-14Z-operator,2026-07-11T00-01-14Z-operator,4,claude-opus-4-8[1m],$27.46,$27.46,0:38:56,44400,157243,33000000,791700,201643,$0.1362,"Claude Code /cost; claude-opus-4-8[1m] $27.46 + haiku sliver $0.0016; api 0:38:56, wall 3h47m. SEPARATE from jarvis-run cost (session-costs.csv, 4 rows) $29.79. Session total observed ~$57.25. 252 lines added / 5 removed (operator-authored: seeds, intent revision, docs, report)."
2026-07-11T00-13-10Z-operator,2026-07-11T00-13-10Z-operator,3,claude-opus-4-8[1m],$5.45,$1.8167,0:07:17,9200,25937,4700000,246500,35137,$0.1551,land 3 onboarding intents (PR #1283); opus $5.44 + haiku $0.0015; cache tracked separately
2026-07-11T10-30-00Z-operator-v2-seeds-00-04,2026-07-11T10-30-00Z-operator-v2-seeds-00-04,1,claude-opus-4-8[1m],$27.94,$27.94,0:29:51,14252,97720,37300000,676200,111972,$0.2495,5 v2 seeds 00-04 end-to-end; opus $27.94 + haiku $0.0008; cache tracked separately; wall 10h13m
2026-07-11T23-30-00Z-operator-v1-seed-and-v2-seeds-05-09,2026-07-11T23-30-00Z-operator-v1-seed-and-v2-seeds-05-09,12,claude-opus-4-8[1m],$101.35,$8.4458,1:18:38,37700,256200,167700000,1100000,293900,$0.3448,v1 sizing seed + regression fix + v2 seeds 05-09; codex depleted twice (cursor became impl actuator); user-directed revert #1349; wall 14h12m; opus $101.35 + haiku $0.0017
2026-07-12T22-00-00Z-operator-v2-dogfooding,2026-07-12T22-00-00Z-operator-v2-dogfooding,14,claude-opus-4-8[1m],$120.90,$8.6357,1:09:08,34700,241100,213300000,837500,275800,$0.4384,"13 specs completed + 1 blocked (tui-row-navigation, 3x iteration timeout); 8 seeds authored; found and fixed 3 blockers not in the original ask: v2 plan workflow never spawned an agent, daemon stdio bound to /dev/null, v2 implement preflight (operator took the fix); codex depleted mid-session then returned; wall 13h58m; opus $120.90 + haiku $0.0018"
2026-07-13T07-00-00Z-operator-v2-preset-sweep-and-p0-p1,2026-07-13T07-00-00Z-operator-v2-preset-sweep-and-p0-p1,15,claude-opus-4-8[1m],$102.57,$6.8380,1:11:08,4600,272030,169700000,1100000,276630,$0.3708,"14 specs implemented + 1 plan-only (review-step-emits-log-events, v2 implement returned blocked with no blocker). All 6 v2 presets dogfooded: every write-driving preset was broken. 13 seeds authored, 7 fixed same session. Root cause chain: plan discarded completed work over a missing token -> fixing presets required fixing claude observability (#1450, claude spawned with batch --output-format json so the watchdog never saw stdout) -> which exposed that the idle-escalation watchdog has NEVER fired for any agent (idleOutputTimeoutMs default == iterationTimeoutMs == 600000). 67 accumulated worktrees broke every agent sandbox with E2BIG. review-feedback found a real EPIPE crash in spawn.ts. P1 complete, all P0s landed, v2 can now plan and implement. P2 (workflow collapse) untouched. opus $102.57 + haiku $0.0014; wall 16h15m43s; api 1h11m08s"
2026-07-13T20-30-00Z-operator-review-gate-root-cause,2026-07-13T20-30-00Z-operator-review-gate-root-cause,3,claude-opus-4-8[1m],$27.09,$9.0300,0:33:54,5200,139600,36400000,546600,144800,$0.1871,"Backlog audit + review-gate root-cause. 2 implementation PRs (#1484, #1485), 12 PRs merged total. Root-caused the long-standing 'review is a silent no-op' after THREE prior wrong diagnoses (all inferred 'no agent ran' from an empty log; telemetry always showed real 21-83s critic+actuator invocations). Two real defects behind it, both fixed and re-verified by re-running: critic prompt was the literal string 'intent.prompt.review' (#1484), and the review run row emitted no log events (#1485). Exercised DEBATE for the first time ever (zero adversary/advocate/adjudicator invocations in all-time telemetry) -- it works. 6 seeds authored. JARVIS COST IS DARK for all v2 work: all 16 real v2 invocations carry cost_usd null (an earlier note said 133 -- that count was inflated by test-fixture rows the suite wrote into the operator's real telemetry.jsonl; fixed by #1496). opus $27.08 + haiku $0.0017; wall 4h22m33s; api 0h33m54s."
2026-07-14T00-30-00Z-operator-p0-complete,2026-07-14T00-30-00Z-operator-p0-complete,5,claude-opus-4-8[1m],$22.67,$4.5340,0:22:40,1691,83523,32800000,417100,85214,$0.2660,"P0 COMPLETE -- all four items shipped. #1509 (shared/invocation streams claude + records cost; VERIFIED live, first attributable v2 dollar), #1511 (done token with unticked criteria is a contract_miss), #1512 (no done without a completion commit), #1513 (a CLI request always starts a new run). Plus #1508 (blocked-run seed disproved; worktreePath shipped) and #1514 (green main). 6 seeds authored across #1501/#1510/#1515. Found the mechanism behind the false done on the FIRST command of the session: a fresh implement request returned a 3-hour-old terminal run id and did nothing. Two operator errors, both self-corrected: admin-merged #1513 while CI was red, and broke main with an unregistered slice test -- both fixed by #1514, main verified green on full CI. v2 cost is no longer dark: $7.49 attributable across 7 post-fix invocations. opus $22.67 + haiku $0.0014; wall 3h53m22s; api 0h22m40s."
2026-07-14T05-30-00Z-operator-p1,2026-07-14T05-30-00Z-operator-p1,7,claude-opus-4-8[1m],$53.42,$7.6314,0:37:59,964,129600,93200000,358900,130564,$0.4092,"P1: 4 implementation PRs shipped (#1539 #1540 #1541 #1546), 2 parked as red drafts (#1542 #1544), 22 PRs merged. Six new bugs seeded (#1536 #1543 #1545 #1547); one P1 seed REFUTED and retired. Headline: 4 of 6 implement runs committed code that does not compile -- the new full-tier gate caught every one, but a red gate is terminal and the operator repairs by hand (seed red-gate-does-not-feed-back-to-the-agent). Also found: review/shrink steps have NO timeout at all; plan+implement PRs are all titled jarvis: complete run. Jarvis cost $48.34/70 invocations, zero dark rows. opus $53.42 + haiku $0.0014; wall 1h24m56s; api 0h37m59s."
2026-07-14T05-00-00Z-operator,2026-07-14T05-00-00Z-operator,11,claude-opus-4-8[1m],$69.69,$6.3355,0:56:20,21700,216020,118300000,557000,237720,$0.2931,"P1 COMPLETE: all 6 P1 items + the promoted P0 shipped (#1544 #1555 #1556 #1558 #1560 #1562 #1563). 20 PRs merged. 7 new bugs seeded. Headline #1560: a red ready gate now feeds back to the agent for bounded repair -- 7 of 7 implement runs this session committed a red gate, every one mechanical. Best find: #1558 exposed a latent IPC bug (request() destroyed the shared socket, so any second RPC failed) that would have broken run workflow on every invocation; its 16 red tests were correct and nearly dismissed as stale fixtures. Jarvis cost $12.73 across 17 claude invocations + 11 codex invocations recording NULL cost (seed codex-invocations-record-no-cost-or-usage), so true Jarvis spend is higher by an unmeasured amount. opus $69.69 + haiku $0.0014; api 0h56m20s. NOTE: #1560 is merged and unit-tested but NOT verified end-to-end -- the verification run blocked on an un-satisfiable AC before reaching the gate (seed acceptance-criteria-must-be-satisfiable-by-the-agent)."
2026-07-16T00-38-20Z-operator,2026-07-16T00-38-20Z-operator,10,claude-opus-4-8[1m],$117.60,$11.76,1:37:32,64000,371700,177400000,2000000,435700,$0.2699,"Collapse 5/5 + dependency fix + PR title/body + P0 resume; 35 PRs merged. Jarvis $21.36 (codex, reconstructed from ~/.codex/sessions total_token_usage x data/prices.json; telemetry recorded null cost+usage). opus $117.60 + haiku $0.0018. api 1:37:32; wall 1d13h3m."
2026-07-16T06-45-00Z-operator,2026-07-16T06-45-00Z-operator,8,claude-opus-4-8[1m],$83.33,$10.42,2:06:29,167300,505038,132300000,1450700,672338,$0.1239,"Ready-to-run + P0 v2 dogfood; 8 impl fixes merged, review restored (#1633 verified live). opus $71.87 + sonnet $11.45 (subagent PR reviews; in-harness review was crashing) + haiku $0.0022. Jarvis exec 2:41:24 across 64 codex invocations (36 terra/22 sol/6 luna) incl. ~4.3min of concurrent owner runs; ~157.1min mine. Jarvis spend UNAVAILABLE: usage_source=unavailable on all 64 rows."
2026-07-16T21-09-36Z-operator,2026-07-16T21-09-36Z-operator,6,claude-opus-4-8[1m],$55.29,$9.22,0:47:45,2700,182600,92400000,449200,185300,$0.2984,"Wave 1 COMPLETE: all 4 behaviors shipped (#1648 #1650 #1654 #1658) + the blocker that gated them (#1644). 18 PRs merged, 0 open at close. Headline: main's ready gate was structurally unpassable behind green CI -- bun run ready runs the aggregate suite (60s per-file timeout) but v1/test/run.test.ts takes 119s, and CI never runs the aggregate. That is the 'gate trust is broken' cause from the consolidation plan. Second: ready_gate_repair fired for the first time ever (workflow-runner bypassed publishWithReadyRepair entirely). Jarvis $20.28 = claude $18.22 (17 inv) + codex $2.06 (5 inv, RECONSTRUCTED from ~/.codex/sessions x prices.json -- the 'codex cost unavailable' write-off in prior reports was wrong; method now in the runbook #1657, intents amended #1655). opus $55.29 + haiku $0.0022; api 0:47:45; wall 6:01:54."
2026-07-16T22-30-00Z-operator,2026-07-16T22-30-00Z-operator,6,claude-opus-4-8[1m],$25.30,$4.22,0:32:34,14200,138000,30800000,668900,152200,$0.1662,"Wave 2: authoring+planning COMPLETE (3/3 units consolidated, promoted, planned, merged: #1669 #1671 #1674). Implementation 0/3 -- cleanup rejected twice (#1672 codex --head typo = permanent no-op; #1675 claude 100% vacuous suite, proven by restoring the bug + stubbing every guard = 7 pass/0 fail). Root cause is the code shape not the model: no injectable root, so no honest test exists. Headline: a green gate + 7/7 ticked AC certified a command that could never run; only subagent diff review caught it, twice. Also found: reviewed plan path unusable 3/3 (strands spec in .jarvis-plan-stage + false killed from rollup reading a by-design missing run row); daemon-lost row deadlocks daemon stop AND run kill; ready gate tier hardcoded and stomps env (~85% of wall clock). Confirmed working: Wave 1 ready_gate_repair fired for real; #1658 publication guard correctly refused to claim success. Agents $12.79 = claude $4.91 + codex $7.88 RECOVERED 11/12 from rollout files. opus $25.30 + haiku $0.0014; api 0:32:34; wall 1:32:14."
